Group,Subject,Frequency (Hz),Coherence
Males PRE,M503,0.0501,0.2933
Males PRE,M503,0.1002,0.4441
Males PRE,M503,0.1502,0.6691
Males PRE,M503,0.2003,0.4151
Males PRE,M503,0.2504,0.4873
Males PRE,M503,0.3005,0.7509
Males PRE,M503,0.3506,0.7769
Males PRE,M503,0.4006,0.5819
Males PRE,M503,0.4507,0.7187
Males PRE,M503,0.5008,0.769
Males PRE,M503,0.5509,0.6131
Males PRE,M503,0.601,0.6445
Males PRE,M503,0.651,0.4062
Males PRE,M503,0.7011,0.233
Males PRE,M503,0.7512,0.4053
Males PRE,M503,0.8013,0.1229
Males PRE,M503,0.8513,0.2233
Males PRE,M503,0.9014,0.0965
Males PRE,M503,0.9515,0.0699
Males PRE,M503,1.0016,0.0607
Males PRE,M503,1.0517,0.0555
Males PRE,M503,1.1017,0.4302
Males PRE,M503,1.1518,0.2125
Males PRE,M503,1.2019,0.2474
Males PRE,M503,1.252,0.0112
Males PRE,M503,1.3021,0.0078
Males PRE,M503,1.3521,0.0905
Males PRE,M503,1.4022,0.1796
Males PRE,M503,1.4523,0.2079
Males PRE,M503,1.5024,0.2573
Males PRE,M503,1.5525,0.4469
Males PRE,M503,1.6025,0.1342
Males PRE,M503,1.6526,0.3699
Males PRE,M503,1.7027,0.0002
Males PRE,M503,1.7528,0.0081
Males PRE,M503,1.8029,0.1968
Males PRE,M503,1.8529,0.3191
Males PRE,M503,1.903,0.4729
Males PRE,M503,1.9531,0.4914
Males PRE,M503,2.0032,0.0046
Males PRE,M503,2.0533,0.0859
Males PRE,M503,2.1033,0.0992
Males PRE,M503,2.1534,0.2323
Males PRE,M503,2.2035,0.2102
Males PRE,M503,2.2536,0.1098
Males PRE,M503,2.3037,0.026
Males PRE,M503,2.3537,0.2599
Males PRE,M503,2.4038,0.0168
Males PRE,M503,2.4539,0.051
Males PRE,M503,2.504,0.0246
Males PRE,M503,2.554,0.3694
Males PRE,M503,2.6041,0.0522
Males PRE,M503,2.6542,0.4271
Males PRE,M503,2.7043,0.2334
Males PRE,M503,2.7544,0.09
Males PRE,M503,2.8044,0.4695
Males PRE,M503,2.8545,0.0353
Males PRE,M503,2.9046,0.378
Males PRE,M503,2.9547,0.1245
Males PRE,M503,3.0048,0.1053
Males PRE,M503,3.0548,0.2998
Males PRE,M503,3.1049,0.3287
Males PRE,M503,3.155,0.136
Males PRE,M503,3.2051,0.1799
Males PRE,M503,3.2552,0.2193
Males PRE,M503,3.3052,0.5256
Males PRE,M503,3.3553,0.1712
Males PRE,M503,3.4054,0.1264
Males PRE,M503,3.4555,0.1155
Males PRE,M503,3.5056,0.0824
Males PRE,M503,3.5556,0.2369
Males PRE,M503,3.6057,0.2521
Males PRE,M503,3.6558,0.2321
Males PRE,M503,3.7059,0.2872
Males PRE,M503,3.756,0.3001
Males PRE,M503,3.806,0.5908
Males PRE,M503,3.8561,0.4219
Males PRE,M503,3.9062,0.3322
Males PRE,M503,3.9563,0.0953
Males PRE,M503,4.0064,0.2967
Males PRE,M503,4.0564,0.1106
Males PRE,M503,4.1065,0.081
Males PRE,M503,4.1566,0.0099
Males PRE,M503,4.2067,0.0757
Males PRE,M503,4.2567,0.2168
Males PRE,M503,4.3068,0.4953
Males PRE,M503,4.3569,0.4189
Males PRE,M503,4.407,0.2339
Males PRE,M503,4.4571,0.1531
Males PRE,M503,4.5071,0.1896
Males PRE,M503,4.5572,0.1513
Males PRE,M503,4.6073,0.3492
Males PRE,M503,4.6574,0.0167
Males PRE,M503,4.7075,0.2398
Males PRE,M503,4.7575,0.1994
Males PRE,M503,4.8076,0.1118
Males PRE,M503,4.8577,0.1348
Males PRE,M503,4.9078,0.6972
Males PRE,M503,4.9579,0.4674
Males PRE,M504,0.0501,0.6762
Males PRE,M504,0.1002,0.6337
Males PRE,M504,0.1502,0.2259
Males PRE,M504,0.2003,0.2561
Males PRE,M504,0.2504,0.4628
Males PRE,M504,0.3005,0.4997
Males PRE,M504,0.3506,0.4453
Males PRE,M504,0.4006,0.044
Males PRE,M504,0.4507,0.192
Males PRE,M504,0.5008,0.41
Males PRE,M504,0.5509,0.6012
Males PRE,M504,0.601,0.4406
Males PRE,M504,0.651,0.4903
Males PRE,M504,0.7011,0.449
Males PRE,M504,0.7512,0.5291
Males PRE,M504,0.8013,0.2887
Males PRE,M504,0.8513,0.2972
Males PRE,M504,0.9014,0.1598
Males PRE,M504,0.9515,0.4299
Males PRE,M504,1.0016,0.4893
Males PRE,M504,1.0517,0.3098
Males PRE,M504,1.1017,0.1953
Males PRE,M504,1.1518,0.2937
Males PRE,M504,1.2019,0.5703
Males PRE,M504,1.252,0.2879
Males PRE,M504,1.3021,0.1837
Males PRE,M504,1.3521,0.4665
Males PRE,M504,1.4022,0.5192
Males PRE,M504,1.4523,0.46
Males PRE,M504,1.5024,0.0343
Males PRE,M504,1.5525,0.0154
Males PRE,M504,1.6025,0.2694
Males PRE,M504,1.6526,0.4176
Males PRE,M504,1.7027,0.5038
Males PRE,M504,1.7528,0.5117
Males PRE,M504,1.8029,0.1192
Males PRE,M504,1.8529,0.2174
Males PRE,M504,1.903,0.2532
Males PRE,M504,1.9531,0.04
Males PRE,M504,2.0032,0.0575
Males PRE,M504,2.0533,0.1068
Males PRE,M504,2.1033,0.2231
Males PRE,M504,2.1534,0.0631
Males PRE,M504,2.2035,0.1842
Males PRE,M504,2.2536,0.005
Males PRE,M504,2.3037,0.4049
Males PRE,M504,2.3537,0.4215
Males PRE,M504,2.4038,0.2924
Males PRE,M504,2.4539,0.0125
Males PRE,M504,2.504,0.0143
Males PRE,M504,2.554,0.1376
Males PRE,M504,2.6041,0.0985
Males PRE,M504,2.6542,0.0094
Males PRE,M504,2.7043,0.0695
Males PRE,M504,2.7544,0.153
Males PRE,M504,2.8044,0.0624
Males PRE,M504,2.8545,0.241
Males PRE,M504,2.9046,0.099
Males PRE,M504,2.9547,0.0226
Males PRE,M504,3.0048,0.1176
Males PRE,M504,3.0548,0.0491
Males PRE,M504,3.1049,0.1442
Males PRE,M504,3.155,0.2516
Males PRE,M504,3.2051,0.1746
Males PRE,M504,3.2552,0.0827
Males PRE,M504,3.3052,0.0064
Males PRE,M504,3.3553,0.2269
Males PRE,M504,3.4054,0.0982
Males PRE,M504,3.4555,0.3659
Males PRE,M504,3.5056,0.2816
Males PRE,M504,3.5556,0.0463
Males PRE,M504,3.6057,0.0438
Males PRE,M504,3.6558,0.3072
Males PRE,M504,3.7059,0.1154
Males PRE,M504,3.756,0.0013
Males PRE,M504,3.806,0.1075
Males PRE,M504,3.8561,0.354
Males PRE,M504,3.9062,0.0977
Males PRE,M504,3.9563,0.0174
Males PRE,M504,4.0064,0.0904
Males PRE,M504,4.0564,0.1974
Males PRE,M504,4.1065,0.0594
Males PRE,M504,4.1566,0.0333
Males PRE,M504,4.2067,0.3785
Males PRE,M504,4.2567,0.1245
Males PRE,M504,4.3068,0.4192
Males PRE,M504,4.3569,0.0596
Males PRE,M504,4.407,0.1904
Males PRE,M504,4.4571,0.1307
Males PRE,M504,4.5071,0.026
Males PRE,M504,4.5572,0.3555
Males PRE,M504,4.6073,0.4269
Males PRE,M504,4.6574,0.2177
Males PRE,M504,4.7075,0.3165
Males PRE,M504,4.7575,0.5999
Males PRE,M504,4.8076,0.1179
Males PRE,M504,4.8577,0.0629
Males PRE,M504,4.9078,0.0383
Males PRE,M504,4.9579,0.4511
Males PRE,M502,0.0501,0.5859
Males PRE,M502,0.1002,0.5922
Males PRE,M502,0.1502,0.6902
Males PRE,M502,0.2003,0.9217
Males PRE,M502,0.2504,0.6806
Males PRE,M502,0.3005,0.6525
Males PRE,M502,0.3506,0.7482
Males PRE,M502,0.4006,0.4903
Males PRE,M502,0.4507,0.4253
Males PRE,M502,0.5008,0.398
Males PRE,M502,0.5509,0.0915
Males PRE,M502,0.601,0.0748
Males PRE,M502,0.651,0.188
Males PRE,M502,0.7011,0.2783
Males PRE,M502,0.7512,0.5852
Males PRE,M502,0.8013,0.5447
Males PRE,M502,0.8513,0.0165
Males PRE,M502,0.9014,0.027
Males PRE,M502,0.9515,0.105
Males PRE,M502,1.0016,0.0145
Males PRE,M502,1.0517,0.0747
Males PRE,M502,1.1017,0.1793
Males PRE,M502,1.1518,0.3273
Males PRE,M502,1.2019,0.2609
Males PRE,M502,1.252,0.3984
Males PRE,M502,1.3021,0.1656
Males PRE,M502,1.3521,0.0836
Males PRE,M502,1.4022,0.1495
Males PRE,M502,1.4523,0.3696
Males PRE,M502,1.5024,0.2592
Males PRE,M502,1.5525,0.3731
Males PRE,M502,1.6025,0.1807
