Group,Epoch,Subject,Frequency (Hz),Coherence
Males PRE,Pre-bout (t<0),M503,0.2523,0.5377
Males PRE,Pre-bout (t<0),M503,0.5046,0.6541
Males PRE,Pre-bout (t<0),M503,0.7569,0.5148
Males PRE,Pre-bout (t<0),M503,1.0092,0.2451
Males PRE,Pre-bout (t<0),M503,1.2615,0.0266
Males PRE,Pre-bout (t<0),M503,1.5138,0.0394
Males PRE,Pre-bout (t<0),M503,1.7661,0.0196
Males PRE,Pre-bout (t<0),M503,2.0184,0.0859
Males PRE,Pre-bout (t<0),M503,2.2707,0.1413
Males PRE,Pre-bout (t<0),M503,2.523,0.1078
Males PRE,Pre-bout (t<0),M503,2.7753,0.1211
Males PRE,Pre-bout (t<0),M503,3.0276,0.0486
Males PRE,Pre-bout (t<0),M503,3.2799,0.0729
Males PRE,Pre-bout (t<0),M503,3.5322,0.1181
Males PRE,Pre-bout (t<0),M503,3.7845,0.1853
Males PRE,Pre-bout (t<0),M503,4.0368,0.0143
Males PRE,Pre-bout (t<0),M503,4.2891,0.1753
Males PRE,Pre-bout (t<0),M503,4.5414,0.0677
Males PRE,Pre-bout (t<0),M503,4.7937,0.0179
Males PRE,Pre-bout (t<0),M504,0.2523,0.5549
Males PRE,Pre-bout (t<0),M504,0.5046,0.5021
Males PRE,Pre-bout (t<0),M504,0.7569,0.448
Males PRE,Pre-bout (t<0),M504,1.0092,0.1419
Males PRE,Pre-bout (t<0),M504,1.2615,0.3515
Males PRE,Pre-bout (t<0),M504,1.5138,0.0416
Males PRE,Pre-bout (t<0),M504,1.7661,0.1412
Males PRE,Pre-bout (t<0),M504,2.0184,0.0171
Males PRE,Pre-bout (t<0),M504,2.2707,0.0107
Males PRE,Pre-bout (t<0),M504,2.523,0.0062
Males PRE,Pre-bout (t<0),M504,2.7753,0.1146
Males PRE,Pre-bout (t<0),M504,3.0276,0.0318
Males PRE,Pre-bout (t<0),M504,3.2799,0.0319
Males PRE,Pre-bout (t<0),M504,3.5322,0.0763
Males PRE,Pre-bout (t<0),M504,3.7845,0.0232
Males PRE,Pre-bout (t<0),M504,4.0368,0.0463
Males PRE,Pre-bout (t<0),M504,4.2891,0.0328
Males PRE,Pre-bout (t<0),M504,4.5414,0.1206
Males PRE,Pre-bout (t<0),M504,4.7937,0.1231
Males PRE,Pre-bout (t<0),M502,0.2523,0.6921
Males PRE,Pre-bout (t<0),M502,0.5046,0.2642
Males PRE,Pre-bout (t<0),M502,0.7569,0.071
Males PRE,Pre-bout (t<0),M502,1.0092,0.1468
Males PRE,Pre-bout (t<0),M502,1.2615,0.2592
Males PRE,Pre-bout (t<0),M502,1.5138,0.6343
Males PRE,Pre-bout (t<0),M502,1.7661,0.5647
Males PRE,Pre-bout (t<0),M502,2.0184,0.3841
Males PRE,Pre-bout (t<0),M502,2.2707,0.1467
Males PRE,Pre-bout (t<0),M502,2.523,0.0846
Males PRE,Pre-bout (t<0),M502,2.7753,0.0066
Males PRE,Pre-bout (t<0),M502,3.0276,0.1982
Males PRE,Pre-bout (t<0),M502,3.2799,0.0838
Males PRE,Pre-bout (t<0),M502,3.5322,0.0848
Males PRE,Pre-bout (t<0),M502,3.7845,0.0504
Males PRE,Pre-bout (t<0),M502,4.0368,0.0087
Males PRE,Pre-bout (t<0),M502,4.2891,0.0208
Males PRE,Pre-bout (t<0),M502,4.5414,0.0976
Males PRE,Pre-bout (t<0),M502,4.7937,0.0037
Males PRE,Pre-bout (t<0),M505,0.2523,0.4811
Males PRE,Pre-bout (t<0),M505,0.5046,0.3696
Males PRE,Pre-bout (t<0),M505,0.7569,0.0902
Males PRE,Pre-bout (t<0),M505,1.0092,0.0699
Males PRE,Pre-bout (t<0),M505,1.2615,0.0317
Males PRE,Pre-bout (t<0),M505,1.5138,0.007
Males PRE,Pre-bout (t<0),M505,1.7661,0.1895
Males PRE,Pre-bout (t<0),M505,2.0184,0.065
Males PRE,Pre-bout (t<0),M505,2.2707,0.002
Males PRE,Pre-bout (t<0),M505,2.523,0.0242
Males PRE,Pre-bout (t<0),M505,2.7753,0.0199
Males PRE,Pre-bout (t<0),M505,3.0276,0.0142
Males PRE,Pre-bout (t<0),M505,3.2799,0.0596
Males PRE,Pre-bout (t<0),M505,3.5322,0.0184
Males PRE,Pre-bout (t<0),M505,3.7845,0.0286
Males PRE,Pre-bout (t<0),M505,4.0368,0.0182
Males PRE,Pre-bout (t<0),M505,4.2891,0.0611
Males PRE,Pre-bout (t<0),M505,4.5414,0.0223
Males PRE,Pre-bout (t<0),M505,4.7937,0.2271
Males PRE,Pre-bout (t<0),M506,0.2523,0.4537
Males PRE,Pre-bout (t<0),M506,0.5046,0.2075
Males PRE,Pre-bout (t<0),M506,0.7569,0.2235
Males PRE,Pre-bout (t<0),M506,1.0092,0.454
Males PRE,Pre-bout (t<0),M506,1.2615,0.2995
Males PRE,Pre-bout (t<0),M506,1.5138,0.1714
Males PRE,Pre-bout (t<0),M506,1.7661,0.15
Males PRE,Pre-bout (t<0),M506,2.0184,0.0112
Males PRE,Pre-bout (t<0),M506,2.2707,0.0295
Males PRE,Pre-bout (t<0),M506,2.523,0.0754
Males PRE,Pre-bout (t<0),M506,2.7753,0.1202
Males PRE,Pre-bout (t<0),M506,3.0276,0.1345
Males PRE,Pre-bout (t<0),M506,3.2799,0.2307
Males PRE,Pre-bout (t<0),M506,3.5322,0.05
Males PRE,Pre-bout (t<0),M506,3.7845,0.3377
Males PRE,Pre-bout (t<0),M506,4.0368,0.1951
Males PRE,Pre-bout (t<0),M506,4.2891,0.1306
Males PRE,Pre-bout (t<0),M506,4.5414,0.0737
Males PRE,Pre-bout (t<0),M506,4.7937,0.005
Males PRE,Post-bout (0–10s),M503,0.2523,0.2621
Males PRE,Post-bout (0–10s),M503,0.5046,0.4376
Males PRE,Post-bout (0–10s),M503,0.7569,0.613
Males PRE,Post-bout (0–10s),M503,1.0092,0.4986
Males PRE,Post-bout (0–10s),M503,1.2615,0.4785
Males PRE,Post-bout (0–10s),M503,1.5138,0.4402
Males PRE,Post-bout (0–10s),M503,1.7661,0.365
Males PRE,Post-bout (0–10s),M503,2.0184,0.2472
Males PRE,Post-bout (0–10s),M503,2.2707,0.0094
Males PRE,Post-bout (0–10s),M503,2.523,0.0486
Males PRE,Post-bout (0–10s),M503,2.7753,0.027
Males PRE,Post-bout (0–10s),M503,3.0276,0.0068
Males PRE,Post-bout (0–10s),M503,3.2799,0.1217
Males PRE,Post-bout (0–10s),M503,3.5322,0.3957
Males PRE,Post-bout (0–10s),M503,3.7845,0.5047
Males PRE,Post-bout (0–10s),M503,4.0368,0.5576
Males PRE,Post-bout (0–10s),M503,4.2891,0.4108
Males PRE,Post-bout (0–10s),M503,4.5414,0.0537
Males PRE,Post-bout (0–10s),M503,4.7937,0.093
Males PRE,Post-bout (0–10s),M504,0.2523,0.8934
Males PRE,Post-bout (0–10s),M504,0.5046,0.6721
Males PRE,Post-bout (0–10s),M504,0.7569,0.3203
Males PRE,Post-bout (0–10s),M504,1.0092,0.191
Males PRE,Post-bout (0–10s),M504,1.2615,0.5894
Males PRE,Post-bout (0–10s),M504,1.5138,0.3409
Males PRE,Post-bout (0–10s),M504,1.7661,0.3338
Males PRE,Post-bout (0–10s),M504,2.0184,0.1516
Males PRE,Post-bout (0–10s),M504,2.2707,0.3196
